team,year,AB,H,AVG
ARI,2016,5665,1479,0.26107678729037953
ARI,2017,5525,1405,0.25429864253393664
ARI,2018,5460,1283,0.23498168498168498
ARI,2019,5633,1419,0.25190839694656486
ARI,2020,1997,482,0.24136204306459688
ARI,2021,5489,1297,0.23629076334487156
ARI,2022,5351,1232,0.23023733881517475
ATL,2016,5514,1404,0.2546245919477693
ATL,2017,5584,1467,0.26271489971346706
ATL,2018,5582,1433,0.2567180222142601
ATL,2019,5560,1432,0.25755395683453236
ATL,2020,2074,556,0.26808100289296044
ATL,2021,5363,1307,0.24370688047734476
ATL,2022,5509,1394,0.2530404792158286
BAL,2016,5524,1413,0.2557929036929761
BAL,2017,5650,1469,0.26
BAL,2018,5507,1317,0.23915017250771745
BAL,2019,5596,1379,0.24642601858470337
BAL,2020,2026,523,0.2581441263573544
BAL,2021,5420,1296,0.23911439114391145
BAL,2022,5429,1281,0.23595505617977527
BOS,2016,5670,1598,0.2818342151675485
BOS,2017,5669,1461,0.2577174104780385
BOS,2018,5623,1509,0.2683620842966388
BOS,2019,5770,1554,0.26932409012131714
BOS,2020,2083,552,0.2650024003840615
BOS,2021,5495,1434,0.26096451319381253
BOS,2022,5539,1427,0.25762773063729916
CHA,2016,5550,1428,0.2572972972972973
CHA,2017,5513,1412,0.2561218937057863
CHA,2018,5523,1332,0.2411732753938077
CHA,2019,5529,1443,0.2609875203472599
CHA,2020,2047,534,0.2608695652173913
CHA,2021,5357,1373,0.25630016800448013
CHA,2022,5611,1435,0.25574763856710037
CHN,2016,5503,1409,0.25604215882246045
CHN,2017,5496,1402,0.2550946142649199
CHN,2018,5624,1453,0.2583570412517781
CHN,2019,5461,1378,0.252334737227614
CHN,2020,1918,422,0.22002085505735142
CHN,2021,5306,1255,0.23652468903128535
CHN,2022,5425,1293,0.2383410138248848
CIN,2016,5487,1403,0.2556952797521414
CIN,2017,5484,1390,0.25346462436177974
CIN,2018,5532,1404,0.25379609544468545
CIN,2019,5450,1328,0.2436697247706422
CIN,2020,1842,390,0.21172638436482086
CIN,2021,5423,1352,0.249308500829799
CIN,2022,5380,1264,0.23494423791821561
CLE,2016,5484,1435,0.2616703136396791
CLE,2017,5511,1449,0.26292868807838865
CLE,2018,5595,1447,0.2586237712243074
CLE,2019,5425,1354,0.2495852534562212
CLE,2020,1959,446,0.2276671771311894
CLE,2021,5332,1269,0.23799699924981246
CLE,2022,5558,1410,0.25368837711406983
COL,2016,5614,1544,0.2750267189169932
COL,2017,5534,1510,0.2728586917238887
COL,2018,5541,1418,0.25591048547193646
COL,2019,5660,1502,0.2653710247349823
COL,2020,2057,528,0.25668449197860965
COL,2021,5374,1338,0.24897655377744696
COL,2022,5540,1408,0.25415162454873647
DET,2016,5526,1476,0.2671009771986971
DET,2017,5556,1435,0.2582793376529878
DET,2018,5494,1326,0.241354204586822
DET,2019,5549,1333,0.24022346368715083
DET,2020,1893,463,0.2445853143159007
DET,2021,5376,1299,0.24162946428571427
DET,2022,5378,1240,0.23056898475269616
HOU,2016,5545,1367,0.24652840396753833
HOU,2017,5611,1581,0.281767955801105
HOU,2018,5453,1390,0.25490555657436276
HOU,2019,5613,1538,0.27400676999821844
HOU,2020,1992,478,0.2399598393574297
HOU,2021,5593,1496,0.2674772036474164
HOU,2022,5409,1341,0.24792013311148087
KCA,2016,5552,1450,0.2611671469740634
KCA,2017,5536,1436,0.25939306358381503
KCA,2018,5505,1350,0.2452316076294278
KCA,2019,5496,1356,0.24672489082969432
KCA,2020,1988,485,0.24396378269617705
KCA,2021,5427,1349,0.24857195503961674
KCA,2022,5437,1327,0.24406842008460547
LAA,2016,5431,1410,0.25962069600441906
LAA,2017,5415,1314,0.24265927977839336
LAA,2018,5472,1323,0.24177631578947367
LAA,2019,5542,1368,0.2468422952002887
LAA,2020,2020,501,0.24801980198019802
LAA,2021,5437,1331,0.24480411991907303
LAA,2022,5423,1265,0.2332657200811359
LAN,2016,5518,1376,0.2493657122145705
LAN,2017,5408,1347,0.24907544378698224
LAN,2018,5572,1394,0.2501794687724336
LAN,2019,5493,1414,0.2574185326779538
LAN,2020,2042,523,0.25612144955925564
LAN,2021,5445,1330,0.24426078971533516
LAN,2022,5526,1418,0.2566051393412957
MIA,2016,5547,1460,0.26320533621777537
MIA,2017,5602,1497,0.26722599071760084
MIA,2018,5488,1303,0.2374271137026239
MIA,2019,5512,1326,0.24056603773584906
MIA,2020,1935,472,0.24392764857881136
MIA,2021,5348,1244,0.23261032161555723
MIA,2022,5395,1241,0.23002780352177943
MIL,2016,5330,1299,0.24371482176360226
MIL,2017,5467,1363,0.24931406621547467
MIL,2018,5542,1398,0.2522555034283652
MIL,2019,5542,1366,0.24648141465175027
MIL,2020,1920,429,0.2234375
MIL,2021,5362,1251,0.23330846698992913
MIL,2022,5417,1271,0.23463171497138638
MIN,2016,5618,1409,0.2508009967960128
MIN,2017,5557,1444,0.25985243836602484
MIN,2018,5526,1379,0.24954759319580166
MIN,2019,5732,1547,0.2698883461270063
MIN,2020,1937,468,0.24161073825503357
MIN,2021,5431,1311,0.24139200883815135
MIN,2022,5476,1356,0.24762600438276114
NYA,2016,5458,1378,0.25247343349212165
NYA,2017,5594,1463,0.26153021094029316
NYA,2018,5515,1374,0.24913871260199455
NYA,2019,5583,1493,0.2674189503850976
NYA,2020,1915,473,0.24699738903394255
NYA,2021,5331,1266,0.23747889701744512
NYA,2022,5422,1308,0.24123939505717448
NYN,2016,5459,1342,0.24583257006777798
NYN,2017,5510,1379,0.2502722323049002
NYN,2018,5468,1282,0.23445501097293342
NYN,2019,5624,1445,0.25693456614509247
NYN,2020,2023,551,0.2723677706376668
NYN,2021,5210,1243,0.23857965451055663
NYN,2022,5489,1422,0.2590635817088723
OAK,2016,5500,1352,0.24581818181818182
OAK,2017,5464,1344,0.24597364568081992
OAK,2018,5579,1407,0.2521957340025094
OAK,2019,5561,1384,0.24887610142060781
OAK,2020,1908,430,0.22536687631027252
